MARKET_RUN_ID,OPR_DT,OPR_HR,DATA_ITEM,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,VALUE,GROUP
DAM,2022-08-17,21,DAM_SCHEDULE,2022-08-18T03:00:00-00:00,2022-08-18T04:00:00-00:00,2556.52,7
DAM,2022-08-17,24,DAM_SCHEDULE,2022-08-18T06:00:00-00:00,2022-08-18T07:00:00-00:00,2850.89,7
DAM,2022-08-17,7,DAM_SCHEDULE,2022-08-17T13:00:00-00:00,2022-08-17T14:00:00-00:00,1461.37,7
DAM,2022-08-17,15,DAM_SCHEDULE,2022-08-17T21:00:00-00:00,2022-08-17T22:00:00-00:00,11841.42,7
DAM,2022-08-17,17,DAM_SCHEDULE,2022-08-17T23:00:00-00:00,2022-08-18T00:00:00-00:00,11139.99,7
DAM,2022-08-17,20,DAM_SCHEDULE,2022-08-18T02:00:00-00:00,2022-08-18T03:00:00-00:00,2760.12,7
DAM,2022-08-17,22,DAM_SCHEDULE,2022-08-18T04:00:00-00:00,2022-08-18T05:00:00-00:00,2679.41,7
DAM,2022-08-17,6,DAM_SCHEDULE,2022-08-17T12:00:00-00:00,2022-08-17T13:00:00-00:00,1145.66,7
DAM,2022-08-17,14,DAM_SCHEDULE,2022-08-17T20:00:00-00:00,2022-08-17T21:00:00-00:00,11871.55,7
DAM,2022-08-17,18,DAM_SCHEDULE,2022-08-18T00:00:00-00:00,2022-08-18T01:00:00-00:00,9721.65,7
DAM,2022-08-17,19,DAM_SCHEDULE,2022-08-18T01:00:00-00:00,2022-08-18T02:00:00-00:00,5874.7,7
DAM,2022-08-17,12,DAM_SCHEDULE,2022-08-17T18:00:00-00:00,2022-08-17T19:00:00-00:00,11583.44,7
DAM,2022-08-17,16,DAM_SCHEDULE,2022-08-17T22:00:00-00:00,2022-08-17T23:00:00-00:00,11551.82,7
DAM,2022-08-17,2,DAM_SCHEDULE,2022-08-17T08:00:00-00:00,2022-08-17T09:00:00-00:00,1619.8,7
DAM,2022-08-17,11,DAM_SCHEDULE,2022-08-17T17:00:00-00:00,2022-08-17T18:00:00-00:00,11142.72,7
DAM,2022-08-17,1,DAM_SCHEDULE,2022-08-17T07:00:00-00:00,2022-08-17T08:00:00-00:00,1621.15,7
DAM,2022-08-17,8,DAM_SCHEDULE,2022-08-17T14:00:00-00:00,2022-08-17T15:00:00-00:00,5065.85,7
RTD,2022-08-17,17,RTM_SCHEDULE,2022-08-17T23:00:00-00:00,2022-08-18T00:00:00-00:00,11225.61,8
RTD,2022-08-17,21,RTM_SCHEDULE,2022-08-18T03:00:00-00:00,2022-08-18T04:00:00-00:00,3002.54,8
RTD,2022-08-17,11,RTM_SCHEDULE,2022-08-17T17:00:00-00:00,2022-08-17T18:00:00-00:00,11103.83,8
RTD,2022-08-17,16,RTM_SCHEDULE,2022-08-17T22:00:00-00:00,2022-08-17T23:00:00-00:00,11554.79,8
RTD,2022-08-17,24,RTM_SCHEDULE,2022-08-18T06:00:00-00:00,2022-08-18T07:00:00-00:00,3456.94,8
RTD,2022-08-17,23,RTM_SCHEDULE,2022-08-18T05:00:00-00:00,2022-08-18T06:00:00-00:00,3392.2,8
RTD,2022-08-17,8,RTM_SCHEDULE,2022-08-17T14:00:00-00:00,2022-08-17T15:00:00-00:00,4568.11,8
