,RT_LMP,RT_MCC,RT_MCE,RT_MCL,RT_MGHG,DA_LMP,DA_MCC,DA_MCE,DA_MCL,DA_MGHG,Export,Generation,Import,NP15_Solar_Renewable Forecast RTD,NP15_Wind_Renewable Forecast RTD,SP15_Solar_Renewable Forecast RTD,SP15_Wind_Renewable Forecast RTD,ZP26_Solar_Renewable Forecast RTD,renewables_rtd,HLY-CLDH-NORMAL_USW00023129,HLY-CLDH-NORMAL_USW00023174,HLY-CLDH-NORMAL_USW00023188,HLY-HTDH-NORMAL_USW00023129,HLY-HTDH-NORMAL_USW00023174,HLY-HTDH-NORMAL_USW00023188,HLY-TEMP-NORMAL_USW00023129,HLY-TEMP-NORMAL_USW00023174,HLY-TEMP-NORMAL_USW00023188,DART,friday,weekend,hour,Total_Solar_Forecast_RTD,Total_Wind_Forecast_RTD,Total_Wind_Solar_Forecast_RTD,renew_forecast_error,prev_day_renew_forecast_error,prev_day_Export,prev_day_Generation,prev_day_Import
2022-08-10 14:00:00+00:00,76.34858,0.0,73.28490166666667,3.0636791666666667,0.0,82.46778,0.0,84.94827,-2.48049,0.0,2412.3016666666667,22145.254166666666,8134.371666666667,319.96,559.55,1518.85,323.65,228.62,5503.13,15.9,8.7,10.0,0.0,-777.7,0.0,80.9,73.7,75.0,6.119200000000006,0,0,14,2067.43,883.1999999999999,2950.6299999999997,2552.5000000000005,1901.7899999999995,2840.1341666666667,22185.191666666666,7366.321666666667
2022-08-10 15:00:00+00:00,66.43594916666666,2.6085533333333335,62.65078583333334,1.1766108333333334,0.0,76.39679,0.0,78.70278,-2.30599,0.0,2619.4708333333333,23638.9225,7303.8875,1426.01,482.11,5150.25,91.18,1198.73,9724.99,15.9,8.0,9.6,0.0,0.0,0.0,80.9,73.0,74.6,9.960840833333336,0,0,15,7774.99,573.29,8348.279999999999,1376.710000000001,1118.920000000001,2854.6341666666667,23958.159166666665,6641.264166666667
2022-08-10 16:00:00+00:00,68.9843525,0.5356125,65.59228333333333,2.8564575,0.0,75.89387,0.0,77.76808,-1.87421,0.0,2812.0508333333332,24790.646666666667,7005.685,1793.49,577.85,7015.4,24.37,1669.38,11439.22,14.7,7.1,9.0,0.0,-777.7,0.0,79.7,72.1,74.0,6.909517500000007,0,0,16,10478.27,602.22,11080.49,358.72999999999956,526.2199999999993,3108.7225,24554.25333333333,6633.554166666666
2022-08-10 17:00:00+00:00,66.40445583333333,5.136939166666667,59.93475083333333,1.332765,0.0,77.19941,0.0,79.22764,-2.02823,0.0,2883.5508333333332,26369.596666666668,6954.488333333334,1875.67,532.76,7764.12,46.81,1906.58,12459.88,12.6,5.7,8.0,0.0,-777.7,-777.7,77.6,70.7,73.0,10.79495416666667,0,0,17,11546.37,579.5699999999999,12125.94,333.9399999999987,229.17000000000007,3067.060833333333,25606.22,6609.514999999999
2022-08-10 18:00:00+00:00,70.8115325,4.0405766666666665,65.29302333333332,1.4779308333333334,0.0,84.47491,3.3369,83.75104,-2.61303,0.0,3206.431666666667,27688.430833333332,7099.6483333333335,1895.77,528.65,8405.35,67.36,2005.3,13078.68,9.7,4.1,6.6,0.0,0.1,-777.7,74.7,69.0,71.6,13.663377499999996,0,0,18,12306.42,596.01,12902.43,176.25,388.39999999999964,3196.4383333333335,27309.0775,6386.555
2022-08-10 19:00:00+00:00,82.5598325,1.8368083333333332,77.95533916666666,2.7676825,0.0,96.12711,6.11732,93.04299,-3.0332,0.0,3644.5891666666666,29566.076666666664,6927.206666666666,1909.82,450.58,8828.87,139.07,2035.55,13132.63,6.4,2.8,5.1,-777.7,0.3,-777.7,71.4,67.5,70.1,13.567277500000003,0,0,19,12774.24,589.65,13363.89,-231.26000000000022,-72.88999999999942,3984.3975000000005,29569.506666666668,6516.255833333334
2022-08-10 20:00:00+00:00,104.28115000000001,14.401646666666664,89.8795025,0.0,0.0,114.15458,12.15163,106.41935,-4.4164,0.0,4090.4308333333333,31222.45,7467.5625,1884.58,334.8,8522.55,158.0,2033.08,12577.54,4.8,2.4,4.6,0.1,0.4,0.1,69.7,66.9,69.6,9.873429999999985,0,0,20,12440.21,492.8,12933.009999999998,-355.4699999999975,-358.6800000000003,4410.315833333333,30958.033333333336,7237.3875
2022-08-10 21:00:00+00:00,142.14984583333333,31.721107500000002,107.49781833333333,2.93092,0.0,124.76883,13.98683,115.32584,-4.54384,0.0,4303.977777777778,33205.93,8349.478888888889,1882.94,370.9,7884.45,212.35,2021.28,12384.54,4.0,2.2,4.4,0.1,0.5,0.1,68.8,66.7,69.3,-17.381015833333336,0,0,21,11788.67,583.25,12371.92,12.6200000000008,-171.45000000000073,4788.230833333334,32911.270833333336,7246.804166666666
2022-08-10 22:00:00+00:00,119.31270083333334,26.221399166666668,91.16992416666666,1.9213766666666665,0.0,140.53741,16.58871,128.56415,-4.61545,0.0,4252.974166666667,35111.72416666667,8526.098333333333,1874.23,450.12,7659.09,362.73,1966.79,12244.81,3.4,2.1,4.2,0.2,0.6,0.1,68.2,66.5,69.1,21.224709166666656,0,0,22,11500.11,812.85,12312.960000000001,-68.15000000000146,-278.6900000000005,4951.3075,34387.705,7237.618333333333
2022-08-10 23:00:00+00:00,118.04244583333333,25.226155000000002,89.84186583333333,2.974425,0.0,142.74605,18.9872,128.30069,-4.54184,0.0,4363.7716666666665,35670.94666666666,8975.99,1842.81,472.1,7246.73,779.04,1860.45,11328.87,3.0,2.0,4.0,0.3,0.6,0.1,67.7,66.3,68.9,24.703604166666665,0,0,23,10949.99,1251.1399999999999,12201.13,-872.2599999999984,-455.9299999999985,5241.716666666666,35341.07666666667,7684.170000000001
